"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.350703020686585,0.168245681332743,-2.08446967499268,0.0371174658435204,0.163034808642725
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107766417887,0.101059218008957,2.0394751758283,0.0414026263019119,0.176031664881012
"ENSG00000000457",322.664843927049,0.0245269479387431,0.145145067650066,0.168982303951766,0.865810560624332,0.961694238405245
"ENSG00000000460",87.682625164828,-0.147142049222051,0.257007253996094,-0.572520996719753,0.566969065260267,0.815848587641942
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.459281905807021,0.234311633844973,1.96013274403137,0.0499802769415974,0.200944465783933
"ENSG00000001036",2025.39179382894,-0.22824368835136,0.125005308318543,-1.82587196833067,0.0678695494959078,0.246790954889682
"ENSG00000001084",652.173308358757,-0.253030787429102,0.202576594239657,-1.2490623034651,0.211642286939289,0.49503049199931
"ENSG00000001167",411.684395281717,-0.533733396573764,0.228791461149019,-2.33283792101895,0.0196566535722367,0.105268747649054
"ENSG00000001460",201.336569053853,-0.123556348103669,0.161114727311025,-0.766884257980644,0.443150334003918,0.73058367200266
"ENSG00000001461",2918.77668675377,0.00210152395871947,0.288704344042194,0.00727915600193508,0.994192125099878,0.998014166808354
"ENSG00000001497",539.501702816792,-0.0573211492611466,0.109341581210662,-0.524239256707924,0.600112139781342,0.837621133649495
"ENSG00000001561",115.914401421895,0.28681663820982,0.715972980500192,0.400597014163083,0.688716844326494,0.887117297133659
"ENSG00000001617",604.297522477042,-0.192202806884418,0.198690550510422,-0.967347497858668,0.333370346699767,0.639074750803128
"ENSG00000001626",9.6724145714589,-0.286388065301891,0.586258600937657,-0.488501260098947,0.625194833390205,NA
"ENSG00000001629",1826.75812135437,-0.246091165637127,0.19039307292891,-1.29254264270956,0.196169288315119,0.474446482199375
"ENSG00000001630",979.608386428197,-0.179753249342172,0.121379855929099,-1.48091499999119,0.138629225360963,0.386406073065284
"ENSG00000001631",848.723819299268,-0.0712550209851393,0.153652803234409,-0.463740455658557,0.642833708758295,0.862101878964348
"ENSG00000002016",203.735815126675,-0.411582595769085,0.228455036442709,-1.80159125479512,0.0716097381886971,0.255785255865051
"ENSG00000002079",3.06484852801131,1.06112994552549,1.77213592724458,0.598785865808499,0.549315688868658,NA
"ENSG00000002330",688.667589034695,0.0103246419431042,0.0964225022825752,0.10707710024831,0.914727814058924,0.976989457491137
"ENSG00000002549",1229.98469317186,0.164300728725491,0.177395585311727,0.92618273694227,0.354351022345522,0.656729477673097
"ENSG00000002586",8367.26727634875,0.0792894308760576,0.131640081100268,0.60231982701123,0.546961265485558,0.801490814631725
"ENSG00000002587",1.95953335698007,0.399056442747932,1.15881067604981,0.344367247381814,0.73057011705096,NA
"ENSG00000002726",1.53531673945229,0.80493960537111,1.80336251424198,0.44635485046081,0.655340940972934,NA
